Employee_ID,Age,Gender,Department,Job_Role,Experience_Years,Education_Level,Certification_Count,AI_Training_Hours,Coding_Test_Score,Communication_Score,Leadership_Score,Problem_Solving_Score,Innovation_Score,Attendance_Percentage,Remote_Work_Days,Overtime_Hours,Salary,Promotion_Last_3Y,Project_Count,Client_Rating,Bug_Fix_Count,Deployment_Success_Rate,Team_Size,Stress_Level,Work_Life_Balance,Job_Satisfaction,Attrition_Risk,Manager_Rating,Employee_Performance_Score
100080,32,Female,HR,Data Scientist,9,Bachelor,11,240,66,72,91,93,54,94,6,10,1356877,No,18,2.56,460,94.88,24,7,7,6,High,2.92,66.23
100081,38,Other,Finance,QA Engineer,26,Bachelor,12,53,82,86,52,62,52,90,20,31,1541949,Yes,3,4.22,442,89.65,24,1,9,7,High,3.14,63.09
100082,29,Female,HR,Support Engineer,5,PhD,3,158,89,77,98,78,79,82,1,50,723231,Yes,14,2.37,135,94.58,22,3,8,8,Medium,3.18,74.38
100083,56,Male,Marketing,Software Engineer,14,Master,5,108,41,98,92,72,75,78,1,39,1519761,No,5,3.42,62,99.49,13,6,7,5,Medium,4.23,66.03
100084,56,Other,IT,HR Executive,30,Master,2,279,50,54,55,41,73,82,7,6,2339177,Yes,10,4.98,149,95.49,16,1,8,3,Medium,4.37,56.57
100085,54,Male,IT,Marketing Specialist,21,Bachelor,12,152,47,85,80,49,42,83,15,0,1555561,Yes,4,4.38,147,84.21,9,5,4,5,High,2.41,53.18
100086,26,Male,Marketing,Business Analyst,5,Bachelor,8,162,58,96,70,58,77,77,2,24,2167160,No,12,3.58,333,89.09,12,6,5,1,Medium,3.05,60.85
100087,49,Male,Sales,Data Scientist,32,PhD,1,56,96,59,78,79,46,83,22,5,1974528,Yes,19,3.7,141,87.39,17,2,2,7,Medium,4.03,61.43
100088,28,Other,Marketing,Support Engineer,28,Master,6,213,55,54,74,48,43,82,21,15,1455954,Yes,4,4.36,335,85.25,20,7,5,8,Medium,4.49,57.95
100089,30,Female,Operations,Cloud Engineer,20,Master,5,27,43,63,59,54,59,96,5,14,1303799,No,11,1.7,146,93.09,4,7,2,6,High,1.6,54.71
100090,29,Male,Marketing,Finance Analyst,29,Master,13,203,53,73,96,82,59,92,18,21,445649,No,7,1.44,294,83.16,22,6,1,6,Medium,3.99,71.61
100091,33,Male,HR,Cloud Engineer,20,Master,14,32,61,77,40,63,62,79,21,17,1752112,No,5,1.88,379,79.29,19,6,8,9,Medium,4.68,57.06
100092,55,Male,Operations,ML Engineer,21,Bachelor,1,121,56,70,95,51,83,91,12,49,1477371,No,4,3.98,92,71.27,9,6,2,7,Medium,2.0,65.0
100093,54,Female,Marketing,Sales Executive,19,Bachelor,10,15,82,94,79,61,86,71,3,71,871064,No,15,4.08,293,72.64,11,9,1,8,Medium,2.96,64.9
100094,44,Female,IT,Finance Analyst,21,Bachelor,2,153,97,89,85,57,60,81,16,9,390249,Yes,17,1.11,456,76.65,22,9,9,6,High,1.01,67.46
100095,45,Other,Finance,Cloud Engineer,10,PhD,5,217,65,61,52,41,52,85,23,48,1102131,No,16,1.24,305,74.62,6,2,6,5,High,4.29,47.53
100096,58,Female,HR,QA Engineer,30,Master,9,104,74,69,46,99,81,76,8,69,2352027,No,16,4.93,389,70.86,23,9,9,7,Medium,4.37,69.72
100097,56,Other,HR,Cloud Engineer,12,Bachelor,3,76,75,81,84,54,83,71,2,9,594124,Yes,10,2.97,25,90.88,15,2,5,4,High,4.66,69.01
100098,43,Other,Sales,HR Executive,17,Master,0,86,92,87,61,81,76,85,0,38,1591892,Yes,16,3.14,176,92.81,9,3,7,5,High,3.92,73.02
100099,48,Other,Finance,Support Engineer,21,Bachelor,0,30,84,89,46,78,78,91,0,57,2254246,Yes,14,3.45,99,80.63,2,9,6,6,High,2.36,63.0
100100,56,Other,HR,HR Executive,16,PhD,2,99,88,91,97,48,85,75,16,70,493061,Yes,15,4.86,19,99.59,14,3,3,9,Medium,1.72,75.02
100101,22,Other,Marketing,AI Engineer,24,Bachelor,7,154,69,70,59,61,37,85,24,41,510476,No,10,1.64,360,87.64,18,4,1,2,High,2.35,53.95
100102,56,Male,HR,Cloud Engineer,31,PhD,10,291,91,66,91,56,51,94,12,44,2495823,No,2,3.53,152,73.0,17,5,2,7,Low,1.91,71.73
100103,58,Female,HR,QA Engineer,14,Master,3,105,60,50,76,53,91,82,4,27,1209899,Yes,1,1.3,135,80.95,18,1,6,5,Medium,1.43,61.76
100104,35,Male,HR,QA Engineer,12,Bachelor,10,229,59,93,75,70,83,79,18,72,1153582,No,9,3.05,110,87.47,9,2,5,2,High,2.86,66.0
100105,24,Other,Sales,DevOps Engineer,25,Bachelor,0,2,81,77,43,80,64,96,24,4,960691,No,2,2.76,103,98.67,21,6,7,2,Medium,1.82,65.67
100106,22,Female,HR,Software Engineer,10,Bachelor,7,221,65,51,96,46,44,89,9,56,2326633,Yes,7,2.07,410,90.48,20,2,6,2,Medium,1.26,64.25
100107,26,Male,HR,Finance Analyst,12,Master,9,120,94,66,45,86,34,78,8,79,1281752,No,9,2.76,127,70.27,15,2,3,8,Low,3.22,63.7
100108,47,Male,Sales,Data Scientist,32,PhD,5,159,95,88,85,74,46,71,5,28,1807197,Yes,13,3.79,20,90.08,19,4,9,3,High,3.28,72.42
100109,35,Other,Operations,Business Analyst,0,PhD,0,270,51,63,42,73,32,90,20,54,1663545,Yes,12,4.36,202,89.65,5,7,5,6,Medium,3.03,45.38
100110,48,Male,Finance,Product Manager,26,Bachelor,11,193,47,63,42,42,48,85,16,22,874780,Yes,6,4.14,466,95.85,9,1,7,7,Low,1.7,59.8
100111,30,Male,Operations,Support Engineer,31,Master,9,217,74,93,97,41,66,72,21,56,2272234,Yes,7,3.34,396,73.95,18,6,5,6,Low,2.67,59.25
100112,36,Male,IT,Finance Analyst,14,PhD,9,190,68,97,95,84,50,91,20,17,1002666,No,19,4.59,174,94.22,2,2,3,7,High,3.81,68.39
100113,36,Male,Sales,Finance Analyst,30,PhD,5,251,92,67,42,66,80,71,24,25,2395630,No,15,3.78,388,96.27,7,6,5,4,Low,3.88,67.2
100114,47,Male,Sales,Support Engineer,5,PhD,0,225,81,89,75,97,83,98,6,4,847358,No,6,4.35,89,94.06,2,4,7,8,Medium,3.41,79.41
100115,34,Other,HR,ML Engineer,24,PhD,14,0,95,83,93,84,40,79,15,7,1085591,No,17,2.59,70,82.31,6,7,8,5,High,4.33,62.57
100116,53,Other,HR,Marketing Specialist,17,PhD,9,132,46,92,48,41,94,94,18,18,621666,Yes,5,3.79,140,90.73,10,9,7,1,High,3.47,66.14
100117,53,Male,IT,Finance Analyst,21,Bachelor,9,89,96,50,93,91,59,89,4,27,1245426,No,10,1.3,239,94.52,9,1,5,4,Medium,1.24,65.71
100118,25,Other,HR,Product Manager,30,Bachelor,2,5,49,91,55,93,72,92,21,67,2069496,Yes,15,4.83,87,98.4,24,6,3,1,High,4.08,63.59
100119,51,Other,Marketing,ML Engineer,8,Bachelor,1,243,78,67,90,90,65,74,17,49,2211788,No,5,3.52,367,80.02,10,3,6,6,High,2.54,76.83
100120,58,Female,HR,Project Manager,2,PhD,3,132,89,97,55,80,86,77,6,75,1957037,Yes,18,4.43,151,76.22,9,7,9,6,Low,1.88,75.51
100121,44,Male,HR,DevOps Engineer,32,PhD,1,115,59,83,51,44,55,81,24,64,2187537,No,6,2.94,225,92.7,7,6,9,3,Low,1.14,52.03
100122,36,Other,Marketing,Sales Executive,26,PhD,10,72,67,72,77,60,89,73,24,7,1868945,No,11,1.12,38,72.92,22,2,6,6,Low,2.3,64.63
100123,50,Other,IT,Product Manager,0,Bachelor,12,155,53,98,59,46,51,83,4,59,1119036,Yes,3,2.97,195,86.88,20,5,7,7,Medium,3.45,55.94
100124,57,Male,Marketing,Software Engineer,8,PhD,4,210,51,65,92,64,53,92,7,57,1382260,Yes,4,3.9,83,95.81,4,7,7,4,Medium,4.41,60.73
100125,34,Female,Sales,Product Manager,4,Bachelor,3,68,47,68,70,84,41,96,8,26,2219822,No,3,1.26,204,76.69,8,4,5,7,High,2.25,56.01
100126,53,Male,Marketing,QA Engineer,14,PhD,5,299,96,86,69,40,89,84,21,32,383606,Yes,1,1.4,56,81.64,17,4,8,1,High,3.03,70.44
100127,28,Female,Finance,AI Engineer,8,Bachelor,13,143,46,55,60,48,50,90,19,45,1858096,Yes,17,1.22,310,94.73,2,2,3,9,High,1.63,51.23
100128,43,Male,Sales,Project Manager,27,Master,14,198,44,73,42,41,65,72,3,36,460992,Yes,14,1.48,315,85.07,11,8,6,3,High,2.8,48.54
100129,49,Male,HR,Product Manager,12,PhD,6,205,40,66,60,42,36,93,2,68,859409,Yes,5,3.46,308,75.33,7,3,1,6,High,2.14,51.06
100130,23,Male,Sales,QA Engineer,23,PhD,11,200,86,97,67,83,90,91,11,14,1017061,No,14,4.5,477,72.52,6,8,4,9,High,1.58,71.79
100131,27,Male,IT,Cloud Engineer,9,Bachelor,1,238,48,65,67,76,82,84,8,66,1486600,No,4,2.88,356,86.72,18,8,8,2,Medium,2.96,60.69
100132,49,Female,IT,Business Analyst,21,PhD,1,67,83,88,44,97,57,73,9,27,1738133,Yes,6,4.24,150,70.65,22,1,3,3,Low,4.81,63.3
100133,49,Female,Marketing,Software Engineer,21,Bachelor,7,170,93,97,46,83,53,84,10,62,2401769,No,9,2.59,171,80.2,4,8,4,7,High,3.44,63.79
100134,41,Other,Sales,Software Engineer,19,Bachelor,12,296,57,90,96,43,82,94,15,2,1853850,Yes,14,4.42,445,88.36,7,2,4,7,High,3.87,71.52
100135,51,Male,HR,DevOps Engineer,9,Master,12,69,82,55,44,60,42,78,10,51,379021,No,10,1.63,76,70.16,2,6,3,7,Low,1.88,53.28
100136,32,Female,IT,Product Manager,9,Master,8,286,81,65,48,65,30,87,21,43,1412775,Yes,13,3.3,488,96.04,13,1,2,9,Medium,2.71,67.26
100137,49,Female,Operations,Business Analyst,25,PhD,4,16,49,58,86,92,70,95,7,59,1931536,No,14,3.08,367,98.71,17,4,2,5,High,4.49,61.46
100138,46,Female,HR,Marketing Specialist,24,PhD,6,136,89,78,60,83,88,82,13,57,904903,Yes,4,1.41,421,82.32,19,7,7,7,High,2.72,75.03
100139,54,Male,Operations,Project Manager,27,Bachelor,12,218,97,53,59,76,42,100,1,13,655942,Yes,19,1.95,313,71.22,9,7,1,7,High,2.23,58.37
100140,22,Other,Finance,Cloud Engineer,12,Bachelor,11,5,40,75,77,53,83,78,3,5,2289327,Yes,7,2.94,374,78.4,7,6,3,9,Medium,1.63,46.6
100141,48,Female,Operations,Project Manager,14,Bachelor,8,197,99,87,79,85,76,73,14,18,1754780,Yes,10,4.09,364,89.89,20,5,6,7,Medium,3.33,81.74
100142,34,Male,IT,Cloud Engineer,5,Bachelor,13,131,59,75,91,49,56,94,17,61,2229858,No,11,4.62,397,71.28,19,4,3,4,Medium,1.28,59.64
100143,24,Female,Marketing,AI Engineer,11,PhD,0,183,97,63,76,65,69,82,10,4,1109834,Yes,7,3.94,163,95.62,10,7,1,6,Low,1.75,70.91
100144,27,Female,Finance,Data Scientist,18,Master,7,17,82,84,97,49,61,79,18,48,2323295,Yes,12,2.17,440,94.1,19,5,3,6,High,1.81,61.69
100145,29,Other,Sales,QA Engineer,31,PhD,9,212,68,98,56,76,87,77,17,50,415362,Yes,18,1.41,55,83.88,21,7,4,2,Low,1.15,65.33
100146,48,Female,HR,Finance Analyst,10,PhD,9,47,41,92,81,98,72,83,8,25,1303483,Yes,8,3.1,168,93.11,19,1,1,4,High,1.37,72.18
100147,30,Female,IT,Product Manager,32,PhD,8,28,65,73,67,57,81,85,24,55,811234,No,16,2.38,388,75.1,6,7,4,8,Low,2.7,59.18
100148,58,Male,Finance,Product Manager,1,Master,8,152,50,57,70,66,63,95,21,17,2495247,No,15,3.25,74,98.7,12,2,9,1,Low,1.03,68.08
100149,54,Male,Finance,Business Analyst,14,PhD,9,237,64,89,72,56,35,99,22,44,1911668,No,1,2.59,143,84.93,19,1,2,8,Medium,2.85,62.94
100150,45,Other,IT,Product Manager,4,Master,6,264,73,74,71,49,77,88,4,8,1002322,No,15,2.52,331,99.55,2,9,3,7,High,4.88,60.88
100151,36,Male,Sales,Cloud Engineer,14,Bachelor,11,198,98,53,71,50,47,99,9,1,2244115,No,10,4.65,272,85.79,4,4,5,7,High,2.82,64.5
100152,53,Male,Sales,Cloud Engineer,9,PhD,11,13,80,64,87,86,68,95,16,41,1178048,No,9,3.67,158,91.29,21,4,6,6,Medium,4.24,69.79
100153,53,Other,Marketing,Data Scientist,16,Bachelor,11,275,40,65,95,63,36,76,19,69,339724,Yes,15,3.68,199,93.99,6,4,5,5,High,1.01,59.2
100154,45,Female,Operations,Software Engineer,33,Bachelor,11,9,94,60,62,58,35,81,12,71,656141,No,17,1.53,395,93.73,17,2,8,6,Low,3.97,65.24
100155,33,Other,Sales,Marketing Specialist,23,Bachelor,9,138,70,77,60,83,82,100,3,67,2170624,No,16,2.56,391,92.1,5,3,5,1,Low,2.84,76.22
100156,23,Male,Marketing,Cloud Engineer,9,PhD,14,166,77,56,64,55,30,82,13,30,1692419,No,10,4.05,268,74.1,19,3,5,1,Low,2.17,57.74
100157,24,Other,Operations,Project Manager,29,Bachelor,2,146,61,99,72,62,58,84,7,18,1021936,No,16,3.27,374,82.26,19,1,1,3,High,1.02,63.13
100158,58,Female,Finance,Support Engineer,2,PhD,12,244,41,87,42,95,98,84,20,70,2387329,Yes,5,2.84,150,86.25,3,8,6,5,Low,3.35,75.5
100159,38,Other,IT,Project Manager,2,Bachelor,12,69,86,73,45,98,78,87,14,46,1232912,Yes,1,4.89,260,91.25,7,8,7,9,Low,4.11,76.26
100160,23,Male,Sales,Sales Executive,4,PhD,4,103,40,80,88,51,88,71,2,36,2471964,No,4,1.55,455,81.88,17,3,5,5,Low,1.68,61.62
100161,23,Male,Marketing,Sales Executive,27,PhD,12,228,97,53,67,93,42,83,16,18,508185,Yes,8,1.64,258,86.71,4,7,3,3,High,4.15,64.59
100162,49,Other,Finance,AI Engineer,13,PhD,1,137,95,86,93,93,74,89,14,24,778191,Yes,2,3.25,126,82.71,20,8,7,5,Medium,4.48,74.26
